date,R_reserve_kwh,per_slot_q80_sum_kwh,inflation_ratio,load_mae_kw,pv_mae_kw,netload_mae_kw
2025-02-22,552.7301055288173,3752.4410089183057,6.788920978581775,124.6650212677195,87.15645457642432,154.90338799154816
2025-02-23,559.0013316777269,3794.8461682279276,6.788617402463929,121.58764157924257,115.2438092869559,190.8797928985536
2025-02-24,554.15025687537,3755.3116348163985,6.776702867541896,122.5136072362637,111.6737005474345,192.07103098949335
2025-02-25,549.299182073013,3702.980147253222,6.741281014252487,119.10951715739549,204.30757293015165,286.2710166744087
2025-02-26,544.4481072706559,3632.677996053423,6.672220818737363,132.32011448386876,114.95044882508915,182.48828559645509
2025-02-27,563.8524064800839,3710.18471064844,6.580063626596385,109.59564296095985,157.11402678398687,211.27614818741716
2025-02-28,559.0013316777269,3701.4025152057316,6.621455630699014,117.3496716835035,97.24932053801855,179.74673846443162
2025-03-01,554.15025687537,3718.9932107768896,6.711163921039744,192.52167272754318,160.33365919360625,249.54707595275806
2025-03-02,549.299182073013,3705.151582358665,6.74523411517874,145.19412862560065,173.67740760146904,247.50207579357735
2025-03-03,568.7034812824407,3806.4187249581255,6.6931517921686625,145.69777109523116,140.16371764512593,234.42545557690937
2025-03-04,563.8524064800839,3825.140949667443,6.783940097988307,130.912342610059,106.27870739005742,179.48927411907684
2025-03-05,559.0013316777269,3815.0011889723,6.824672809852462,126.31137249207637,186.57616899364567,247.12464096779644
2025-03-06,554.15025687537,3801.252818968741,6.859606707398231,135.21412900986147,87.29644521620281,176.71669002978447
2025-03-07,613.4000122097011,3814.0785687599446,6.2179303763300835,150.02137460934608,106.45197120775406,183.21327178669372
2025-03-08,568.7034812824407,3788.2293829562923,6.661167915507988,130.14860988472245,127.20858442766215,171.29572111740765
2025-03-09,563.8524064800839,3782.1295875459873,6.707658855544102,139.82620722937605,192.6553497470477,234.36724643097355
2025-03-10,559.0013316777269,3791.216126528074,6.782123604517225,147.93921546316176,135.04229766617763,255.813236390348
2025-03-11,658.0965431369616,3896.9462855038005,5.921541947216666,112.65733110180481,124.65661050429263,205.9087242202368
2025-03-12,815.5134907804836,3960.671040352061,4.856659129650349,114.39711011779212,157.38234734285322,223.14762759244792
2025-03-13,792.1861359187396,3934.2163034377418,4.966277652505274,113.60339343128459,158.39295289202164,245.59013536126773
2025-03-14,885.4955553657146,4005.4894662977304,4.5234438976302265,116.02673184385068,118.39679163449834,200.79443473869222
2025-03-15,862.1682005039706,3961.090937537483,4.59433662158042,94.21158867175444,105.87276178093967,159.52098833816515
2025-03-16,935.5665965623615,3972.940567468455,4.246560941857689,108.99669582907453,116.70347707428317,180.2891384380038
2025-03-17,922.1947533949095,3950.0166362918994,4.283278148949078,115.3419913438576,244.58975738094964,299.09054905727913
2025-03-18,908.8229102274577,3902.6792636624414,4.294213118687434,105.48004755484453,146.51607664392222,217.31056447546598
2025-03-19,885.4955553657146,3876.5837255252795,4.377869207851901,101.77752679593989,127.57649837841561,189.49201395766036
2025-03-20,948.9384397298129,3898.646134500402,4.108428925706125,117.29526329271565,124.09303236347813,204.1010504713605
2025-03-21,975.92288575769,3941.262495543035,4.038497870129468,112.48519706126748,217.80090940639062,272.73447478300506
2025-03-22,975.8025059112032,3931.362040909011,4.028850117819599,102.28825775994548,102.5288421127982,168.27178678911073
2025-03-23,975.6821260647163,3953.9598588589142,4.0525082434447,105.0770843058715,150.36472713601557,233.04575701827162
2025-03-24,962.3102828972644,3947.6239037525484,4.102236018789372,116.4092154514823,181.6786149978687,262.1798060650809
2025-03-25,948.9384397298134,3980.246220254327,4.194419841805126,121.1277907393352,113.44050667858454,201.26920005080825
2025-03-26,935.5665965623615,4001.393655145867,4.276973622026007,90.64920419963084,159.81720374359418,211.31057104176477
2025-03-27,922.1947533949095,3996.237169931297,4.333398292735675,108.28349148998106,105.12801543154895,181.68844485250278
2025-03-28,908.8229102274577,4010.00265804033,4.41230366544866,119.3300144776585,90.50237580416932,166.9284381651796
2025-03-29,885.4955553657137,3980.5294413214433,4.495256263231571,89.40313943414917,156.78423731852752,190.7259070063889
2025-03-30,862.1682005039714,3947.4869684838204,4.578557833815209,123.50546887146346,150.1043492197861,214.148399370497
2025-03-31,838.8408456422275,3952.2739248227904,4.711589743578686,104.21054734862793,222.20635293607967,283.4233912745923
2025-04-01,922.1947533949095,4015.6999925537903,4.354503186849248,113.16449775078208,112.37650655484683,195.88666202325882
2025-04-02,975.6821260647163,4039.9185871882564,4.140609404707176,108.36873438101601,156.66399507503417,228.52740937867384
2025-04-03,976.1636454506637,4099.8284594556535,4.199939711504922,100.14015830831984,177.93062025762129,238.12441677155982
2025-04-04,976.0432656041769,4071.9131748642494,4.171857250962855,102.62633761609901,131.1067383804073,207.58147220781632
