date,day_index,season_stress,level_window_days,load_level_factor,pv_level_factor,load_weekly_factor,drift_level,drift_scale,drift_direction,pv_window_start,pv_window_end,daylight_proxy_hours,daylight_proxy_trend_hours,load_weight_baseline,load_weight_ridge,load_weight_lightgbm
2025-04-25,114,0.04809152097669147,19,0.9993565508402317,1.0125886409665723,1.0,0.04653319966823434,0.02671521308000506,0.04653319966823434,33,109,12.833333333333334,0.6666666666666679,0.13916060917790937,0.3212450938909295,0.5395942969311611
2025-04-26,115,0.0531428833711479,19,0.99898668628455,1.0147995632155675,1.0,0.06069894663978508,0.022769147864513575,0.06069894663978508,33,109,12.833333333333334,0.6666666666666679,0.13819219571120822,0.3262449755673552,0.5355628287214366
2025-04-27,116,0.05141151006304068,19,0.9992493540890942,1.0205203550627648,1.0,0.0686616108396796,0.012486720112338555,0.0686616108396796,33,109,12.833333333333334,0.6666666666666679,0.13730466100033317,0.32009841849278686,0.54259692050688
2025-04-28,117,0.06122099903652829,18,0.9992405170615951,1.0171096543749123,1.0,0.06359547212199006,0.031272540431901384,0.06359547212199006,33,109,12.833333333333334,0.5833333333333339,0.1397489319796165,0.31908592017460674,0.5411651478457767
2025-04-29,118,0.04279973644461095,20,0.9987254616274551,0.9978376947041111,1.0,0.02670989163880753,0.010822117152490058,-0.02670989163880753,33,109,12.833333333333334,0.4166666666666661,0.1393543494834849,0.30702454036791077,0.5536211101486043
2025-04-30,119,0.03744971709630536,19,0.9987196896724118,1.0030520931918325,1.0,0.04547004152459434,0.013658176800415787,-0.04547004152459434,33,109,12.833333333333334,0.3333333333333339,0.1365687952053912,0.29679189212382906,0.5666393126707797
2025-05-01,120,0.043821318675068735,19,0.9989556318102274,1.0041056820895196,1.0,0.03561853335177199,0.029379393004646003,-0.03561853335177199,33,109,12.833333333333334,0.3333333333333339,0.12805872778336386,0.2949807612440986,0.5769605109725375
2025-05-02,121,0.2052058828657065,14,1.0037964052836312,1.0014373527972253,1.0,0.13738673351997485,0.1931727643623665,0.13738673351997485,33,109,12.833333333333334,0.3333333333333339,0.14713015720969466,0.31455378097094044,0.5383160618193649
2025-05-03,122,0.32126184680454417,12,1.0116143522651295,0.9747774418614762,1.0,0.2713646186716407,0.295893434727847,0.2713646186716407,33,109,12.833333333333334,0.3333333333333339,0.16230742572482704,0.3324914291289157,0.5052011451462574
2025-05-04,123,0.3966051111814951,11,1.017177452534358,0.9720198810089521,1.0,0.36614591940142865,0.37923254674917994,0.36614591940142865,32,110,12.833333333333334,0.3333333333333339,0.1733617654458339,0.3502471651641128,0.47639106939005327
2025-05-05,124,0.41274359602275534,10,1.017533106157038,0.9868496326293003,1.0,0.37300719145258665,0.4160315626296874,0.37300719145258665,32,110,12.833333333333334,0.3333333333333339,0.16863040818978375,0.3530231063024752,0.478346485507741
2025-05-06,125,0.42312454291817625,10,1.0154574292698868,0.9860926265859782,1.0,0.3663856716206119,0.4552344060197118,0.3663856716206119,32,110,12.833333333333334,0.3333333333333339,0.15966568292704053,0.3623467863134315,0.47798753075952805
2025-05-07,126,0.43996851916914065,10,1.0146616474276229,0.9914675518977395,1.0,0.3675109323507083,0.5088917750573279,0.3675109323507083,32,110,13.0,0.33333333333333215,0.156812896066234,0.36993669149962716,0.47325041243413885
2025-05-08,127,0.43785060785665963,10,1.0132819014920982,0.9894204841837217,1.0,0.3386326496750824,0.5371277927351544,0.3386326496750824,32,110,13.166666666666666,0.33333333333333215,0.14474454698416314,0.38313679153631486,0.4721186614795219
2025-05-09,128,0.3357008546683366,13,1.0092509629723563,0.9839996047409422,1.0,0.015448621928813749,0.417554150603858,0.015448621928813749,32,110,13.166666666666666,0.33333333333333215,0.1143144284029803,0.37781182074047776,0.507873750856542
2025-05-10,129,0.33402173369879357,11,1.0012809558094466,0.9886618188215915,1.0,0.250561921728116,0.3491796255460291,-0.250561921728116,32,110,13.166666666666666,0.33333333333333215,0.11965927192289316,0.3748035648997546,0.5055371631773523
2025-05-11,130,0.3703325536709561,11,0.9968684707698839,0.9799917292388851,1.0,0.4166436951215173,0.2678282242351804,-0.4166436951215173,32,110,13.166666666666666,0.33333333333333215,0.13070604655195217,0.3712170619255323,0.4980768915225155
2025-05-12,131,0.35446480168829264,11,0.9977988779760998,0.984165734958086,1.0,0.4045765105557203,0.21338136297627988,-0.4045765105557203,32,110,13.166666666666666,0.33333333333333215,0.12388623977557119,0.3776329440306647,0.49848081619376416
2025-05-13,132,0.3092038185794166,12,0.9985528810695106,0.9971788084683556,1.0,0.3451077335899422,0.15170510124704314,-0.3451077335899422,32,110,13.166666666666666,0.33333333333333215,0.11392243713173782,0.37650190585608456,0.5095756570121776
2025-05-14,133,0.2619574232453564,13,0.9988499863833147,0.9982333105652832,1.0,0.3493377713647732,0.09193735230927096,-0.3493377713647732,32,110,13.166666666666666,0.33333333333333215,0.1123869426417379,0.3744986849603931,0.5131143723978691
2025-05-15,134,0.21322592509691968,14,0.999605094450808,1.0003810273499683,1.0,0.31004562740872593,0.02880325112053162,-0.31004562740872593,32,110,13.166666666666666,0.33333333333333215,0.11612314010512192,0.3691075350698461,0.5147693248250319
2025-05-16,135,0.1652217691590158,15,0.997965569649043,1.000642559940179,1.0,0.23018413147705785,0.0318726217262517,-0.23018413147705785,32,110,13.166666666666666,0.33333333333333215,0.12420470643302164,0.36572541142200604,0.5100698821449723
