t,channel,mean_error_kw,q05_error_kw,q25_error_kw,q50_error_kw,q75_error_kw,q95_error_kw,samples
40,pv,-7.9614180764,-299.282702925,-54.8771154871,0,51.0670309451,210.777591496,334
40,net,-3.65428630453,-388.881644891,-153.071155172,-13.5066614549,133.015446645,457.070438909,334
41,load,-1.34261923604,-335.750295319,-126.312861893,0.889110427175,112.280536811,347.206632341,334
41,pv,-7.63779001988,-304.115289183,-64.1965735983,0,63.9201604641,248.441238818,334
41,net,6.29517078384,-406.671105131,-141.456592969,-8.46335185355,165.773676398,435.462690346,334
42,load,-0.265858214967,-369.109968442,-125.921875259,3.37173147039,138.686410052,339.866575869,334
42,pv,-8.10527019681,-317.068460356,-80.5691641705,-4.70859312822,63.9646584968,297.254779412,334
42,net,7.83941198184,-486.869276302,-169.965611435,22.581103481,191.74906582,465.196326128,334
43,load,-4.67014090488,-319.458556522,-114.715836728,-3.52142487698,109.027712366,333.646066911,334
43,pv,-8.00511537888,-362.197762259,-89.0203051703,1.11164691353,74.9531335312,302.628783797,334
43,net,3.334974474,-435.38556606,-179.04074599,-16.4910009515,157.956762112,512.489079192,334
44,load,-6.0787892295,-333.279453224,-121.467316905,-17.3076275332,108.344297509,351.290362723,334
44,pv,-5.54685744645,-390.974737443,-110.300581707,5.69950688741,94.9678712475,350.829100464,334
44,net,-0.531931783048,-468.460198331,-176.013616194,-16.462918631,151.350636865,525.876350838,334
45,load,-4.64319309586,-369.501281086,-130.342716706,-6.88408220503,115.579875383,352.426914734,334
45,pv,-4.07084668906,-391.312484373,-148.003870514,2.27857174864,123.947140881,394.63446794,334
45,net,-0.572346406794,-553.348402787,-206.262892909,-3.23537191615,171.471851782,577.816048871,334
46,load,0.976710146678,-361.89385678,-118.686569646,3.56937956164,131.180343626,314.534269309,334
46,pv,-7.51794445962,-397.329393543,-156.641803733,-11.3320078142,119.621988358,438.046233958,334
46,net,8.4946546063,-552.076277327,-196.152061908,8.86143873326,208.763972121,607.110685074,334
47,load,-0.255246620951,-330.871027184,-119.748623859,5.39554364789,110.67096362,305.373402218,334
47,pv,-5.68007316462,-453.076257072,-146.572844838,-5.64939385213,135.331620806,468.840522155,334
47,net,5.42482654367,-509.095072233,-198.210091727,-4.34777029276,196.90881227,602.944767294,334
48,load,23.8827421024,-309.552284396,-95.9433830862,22.7659722451,151.395553441,349.909387083,334
48,pv,-5.6688080032,-453.35369456,-147.354894684,3.65356742558,143.643802269,492.450544366,334
48,net,29.5515501056,-521.3168032,-177.521600148,32.9420578477,211.40495188,641.868946286,334
49,load,44.0936518489,-251.217994337,-72.5999096031,51.3202420906,154.283407818,352.766172298,334
49,pv,-4.9063532179,-470.790711181,-174.223586692,-0.26601809884,166.874836845,495.274658233,334
49,net,49.0000050668,-509.018138684,-178.673495576,54.3337238277,261.647121984,629.280110464,334
50,load,21.7682219357,-322.183568495,-97.3190298374,31.3199367803,134.619000789,344.505272697,334
50,pv,-5.44837135282,-516.754146846,-195.265000617,-8.04173878543,175.252609469,446.831985645,334
50,net,27.2165932885,-562.580857307,-196.206324805,51.1707629924,232.296891991,636.156187457,334
51,load,24.6646877937,-330.637727905,-90.9330362773,25.7823456784,149.214200052,364.31329062,334
51,pv,-7.05333410088,-579.101861362,-213.848113579,-18.1183455855,203.954657034,504.344280738,334
51,net,31.7180218946,-598.659036247,-222.461476774,54.7099691884,275.364896947,766.90589676,334
52,load,25.6821871819,-262.758419858,-102.085114984,21.5503690845,126.666195633,376.333904329,334
52,pv,-3.76614177624,-592.805594916,-198.438341047,-10.3656389083,223.086328163,570.468517466,334
52,net,29.4483289581,-641.832099477,-227.723322409,27.3123752874,262.443157162,766.088332261,334
53,load,19.2160321448,-257.588714974,-84.4395296846,10.7906741674,117.997017217,360.902601605,334
53,pv,-4.92649370711,-676.821773611,-237.004601784,-5.9430609514,239.491305117,700.026483927,334
53,net,24.1425258519,-714.59796664,-232.445660783,19.5236812456,272.97128584,743.237869003,334
54,load,18.6480012193,-295.095529681,-105.80804527,13.9501178942,129.420428089,347.395713544,334
54,pv,-5.77185850185,-730.654336762,-287.345144956,-15.2994581878,268.159265151,679.211904319,334
54,net,24.4198597211,-724.757281454,-282.881612366,39.401797491,329.858899904,845.887274592,334
55,load,16.7283016271,-288.871284884,-104.76735674,11.3325081812,130.804931423,305.223806554,334
55,pv,-7.38770956972,-744.472529988,-282.190757514,-29.7417163683,271.817327787,773.89015477,334
55,net,24.1160111968,-706.244570831,-267.269689737,40.7082431365,309.142884304,756.034791966,334
56,load,16.7991751383,-293.410124395,-103.704064916,13.4058691499,132.1713351,309.515078435,334
56,pv,-6.95109918267,-739.688045304,-266.444983601,-14.6555144922,254.496072248,769.87396419,334
56,net,23.750274321,-769.34704811,-284.309825774,33.7905907412,318.285057159,799.683219785,334
57,load,13.6323841986,-303.434597327,-112.806124166,22.4804809771,124.656816957,345.149590417,334
57,pv,-8.03589225064,-736.544669237,-299.142160007,6.40876532076,267.192645767,751.566993303,334
57,net,21.6682764492,-766.204954144,-264.032704658,37.5565170334,309.008168104,752.164746929,334
58,load,11.6200634867,-272.110601845,-102.796795367,11.2471238642,112.785098867,316.898065327,334
58,pv,-7.30144594803,-769.424778663,-335.552754882,-13.4771994602,287.348027088,788.234389086,334
58,net,18.9215094347,-761.249623429,-327.761091211,21.8592802937,386.832931294,805.887212465,334
59,load,11.640694526,-295.425356668,-105.674730659,7.11492086575,122.608674342,341.96574345,334
59,pv,-6.54986742502,-824.152636141,-322.491931548,-6.64475998064,286.250832361,810.326176034,334
59,net,18.190561951,-800.552444605,-311.01091231,14.8683221278,386.228615321,875.954930246,334
60,load,13.7908751024,-313.975324503,-107.078825395,6.56982030188,130.53153634,296.462824952,334
60,pv,-6.28993988531,-868.492384842,-305.927312741,3.90041130602,321.933144205,831.244969794,334
60,net,20.0808149877,-857.420680818,-339.033495171,38.7508265085,339.709548756,903.059867742,334
61,load,15.2929381237,-284.083397303,-93.6497441155,8.83377175358,101.292481055,336.538165439,334
61,pv,-9.75648944105,-907.370424185,-354.006522279,-17.9939126798,329.812410253,879.280146374,334
61,net,25.0494275648,-899.256885582,-360.147202614,89.1077926488,386.284242494,956.747722874,334
62,load,12.5051095388,-261.866664466,-97.3394853175,0.822004654062,116.035770807,338.24919691,334
62,pv,-11.9583897599,-941.499627578,-344.155401398,-32.1222612718,354.554355256,882.265460312,334
62,net,24.4634992987,-832.54268821,-390.045406991,46.6015537239,361.45125908,989.52823272,334
63,load,7.70316469273,-314.16365198,-111.329620837,18.7509679712,130.293939256,323.742893511,334
63,pv,-8.94981899628,-881.195854618,-334.972294283,-6.25324467266,336.892147945,916.085176479,334
63,net,16.652983689,-898.831381345,-348.634681276,8.98952503826,346.579836352,1058.94858652,334
64,load,7.94936843485,-259.917071715,-96.3530342099,19.982858398,114.363335917,259.288704181,334
64,pv,-2.86571286051,-964.548057245,-361.727268094,30.2392185423,322.884594702,884.806307642,334
64,net,10.8150812954,-906.232325727,-361.808442655,-22.2641332016,379.795523134,1061.13815176,334
65,load,10.0662219961,-271.788233927,-96.588238983,1.17047015532,115.746469225,283.776584361,334
65,pv,4.98891891521,-939.210717524,-346.752914284,53.1176839787,344.009232416,860.567441224,334
65,net,5.07730308087,-868.270570227,-404.457213037,-24.4873368504,357.12919237,1080.33182263,334
66,load,9.6780722373,-285.577956489,-103.315611193,1.0031883707,127.782742861,309.456678413,334
66,pv,9.01560506931,-909.399427992,-330.161908132,22.1019760145,393.712778056,902.575717916,334
66,net,0.662467167991,-944.190859613,-372.055576269,-39.1723985416,339.712579617,1019.39689318,334
67,load,8.31614806202,-268.482848762,-117.359946597,16.0755258921,116.034767734,299.724958647,334
67,pv,9.90799287003,-938.917365204,-359.723954236,29.2178811443,345.444430744,916.94898622,334
67,net,-1.59184480801,-982.499767321,-385.547002092,-20.0064900342,412.38298571,1000.05475725,334
68,load,6.13599632232,-288.943439094,-113.155423831,6.11087956123,107.099888428,316.413746434,334
68,pv,9.62762252779,-929.414768847,-356.758200815,17.2646067977,353.830046832,979.888104225,334
68,net,-3.49162620547,-975.151064536,-360.232663803,-14.7977853685,366.909229568,1011.06280343,334
69,load,11.3159352112,-321.947782179,-107.732696761,8.76639682896,144.175556086,308.39017405,334
69,pv,11.1584169008,-975.494466782,-336.453348262,-1.07947085877,388.009185014,998.696561237,334
69,net,0.157518310384,-1038.42621998,-396.30104667,-7.69705868815,412.953300369,1029.00892188,334
70,load,15.3028535597,-300.679144144,-110.659106269,13.7483847165,117.683559254,301.258694716,334
70,pv,15.5713687767,-1066.75677437,-342.633313755,45.5539990116,369.968055376,1063.12950733,334
70,net,-0.268515217004,-1057.58617332,-377.221598964,-22.1144171711,371.450672465,1117.1147265,334
71,load,7.48647994976,-245.331498698,-84.3973251619,8.62888990552,97.1020051854,275.753434305,334
71,pv,18.8150678028,-1084.04543782,-371.337572278,34.4213631222,403.255200055,976.077053741,334
71,net,-11.3285878531,-1021.66003152,-435.666810541,-49.4927100658,398.162120546,1157.69180827,334
72,load,-8.26988153971,-358.528709652,-135.270964942,-4.52213965306,110.369996452,284.526716842,334
72,pv,21.0192817797,-1039.31274534,-368.813740444,59.8508416216,428.8973243,1000.30468776,334
72,net,-29.2891633194,-1005.18568258,-484.876544416,-35.6150948225,422.577412076,1096.38662805,334
73,load,-6.97866963815,-339.565394818,-130.913451224,-17.0790381116,117.68332677,319.323883885,334
73,pv,25.6244054843,-1054.44351143,-363.294713896,68.7788478975,448.834269953,978.366136311,334
73,net,-32.6030751224,-988.115190591,-516.746445835,-72.5979245145,387.733586699,1062.18224333,334
74,load,-1.18390487557,-294.596007354,-114.67587976,-11.8718836085,99.9288213389,310.542016345,334
74,pv,24.9920124372,-1034.61862861,-377.987648753,61.67035363,415.14750568,996.350086026,334
74,net,-26.1759173127,-1040.63206931,-440.990389988,-64.8094399062,409.162992163,1025.75297535,334
75,load,-2.58660157474,-321.096644847,-127.397860219,-5.51781755064,126.171341612,297.25720658,334
75,pv,16.250705818,-1013.54812195,-366.06025897,35.980913882,377.650274495,1037.58574183,334
75,net,-18.8373073928,-1078.05485305,-409.219586117,0.0245280517815,391.957812564,1019.58119328,334
76,load,-9.31418080453,-275.665295056,-129.419241676,-20.313539122,100.600909156,302.492950025,334
76,pv,3.49962665136,-1035.28139963,-358.357992805,17.8859263401,406.364731156,1038.60017379,334
76,net,-12.8138074559,-1038.46806331,-464.849650889,-37.7499697652,398.765151856,1086.58155197,334
77,load,-6.55146880485,-270.114894056,-133.652516117,-15.8118038107,105.76604081,297.901953819,334
77,pv,-1.87474863918,-1026.78611884,-372.268163982,-4.29355225366,394.782025636,961.973376423,334
77,net,-4.67672016567,-1028.47303174,-421.492904513,-24.2743107749,388.956515318,1066.21425741,334
78,load,8.81871065866,-282.641233072,-109.937707451,7.1484295468,124.456170344,321.802653884,334
78,pv,-2.12035135402,-1021.01948907,-363.071374167,-20.2460250845,387.071008068,1037.26231831,334
78,net,10.9390620127,-1079.03803293,-395.410288263,32.8448096013,373.162541258,1097.34121043,334
79,load,10.7731692414,-275.330866074,-107.463771137,17.223396626,126.13084807,293.627389879,334
79,pv,-7.34693815518,-1070.09549236,-317.798289333,-25.0228613267,366.07314273,960.566321092,334
79,net,18.1201073965,-1022.63181627,-349.020418671,31.5793512717,373.516183537,1157.17580502,334
80,load,9.86618466523,-264.160028508,-102.902351687,15.7596154827,112.527525922,286.413470608,334
80,pv,-14.0159508705,-1013.84223866,-365.743038348,-24.0261532888,311.420883858,900.142896414,334
