date,R_reserve_kwh,per_slot_q80_sum_kwh,inflation_ratio,load_mae_kw,pv_mae_kw,netload_mae_kw
2025-03-06,554.1504138369085,3862.9261606048603,6.970898269042446,135.21412900986147,87.29645564372018,176.71669007680418
2025-03-07,613.400234365951,3871.617988766697,6.311732164185827,150.02137460934608,106.45198327328107,183.21325367771936
2025-03-08,568.7035712824407,3846.0356364203567,6.76281252770657,130.14860988472245,127.20859790269014,171.29574806044923
2025-03-09,563.8525188005967,3834.686822905728,6.80086848075577,139.82620722937605,192.65537167214444,234.3672538107414
2025-03-10,559.0014663187525,3844.5532174029636,6.8775369100923465,147.93921546316176,135.0423286029967,255.81327517030434
2025-03-11,658.0968974494612,3955.120828069401,6.009936900474655,112.65733110180481,124.65665749503334,205.9087322247993
2025-03-12,815.5141263034418,4017.4795192712468,4.926315056590935,114.39711011779212,157.38237822248286,223.1476433728712
2025-03-13,792.1868866999886,3985.5535477149106,5.031077406895138,113.60339343128459,158.39298381925153,245.5901590506259
2025-03-14,885.4958451138007,4060.4615358096894,4.585522967968138,116.02673184385068,118.39682288449825,200.79444238401103
2025-03-15,862.1686055103474,4017.5808443230753,4.65985518220642,94.21158867175444,105.87279383319752,159.5209723120364
2025-03-16,935.5667180463622,4029.0463143771603,4.306530188237735,108.99669582907453,116.70350169265147,180.28912187769333
2025-03-17,922.1949013818077,4011.323922815946,4.349757211632181,115.3419913438576,244.58977454144372,299.09053135357567
2025-03-18,908.8230847172531,3967.372232223241,4.365395530701713,105.48004755484453,146.51609495532566,217.3105639211287
2025-03-19,885.4958451138007,3935.899316884881,4.444853511852507,101.77752679593989,127.57651777776609,189.49199374662123
2025-03-20,948.9385347109163,3954.2234249274647,4.166996365188263,117.29526329271565,124.09305327100411,204.10103920296064
2025-03-21,1002.801419749608,3993.060706650618,3.9819057173330044,112.48519706126748,217.80093180442157,272.73448686985455
2025-03-22,989.2417938948165,3983.2411348002215,4.026559693881826,102.28825775994548,102.52886617529819,168.2717979870274
2025-03-23,975.682168040025,4001.2231721365647,4.100949369787421,105.0770843058715,150.3647532105467,233.0458352418654
2025-03-24,962.3103513754704,3998.6641488058494,4.155275003630992,116.4092154514823,181.67864249335196,262.17976358540614
2025-03-25,948.9385347109168,4033.5543259705705,4.250595985333598,121.1277907393352,113.44054909826335,201.26920087912157
2025-03-26,935.5667180463622,4059.3918709874542,4.338965669347688,90.64920419963084,159.8172616415218,211.31059999072866
2025-03-27,922.1949013818077,4049.419225931657,4.391066595427981,108.28349148998106,105.12804425507825,181.68845692221942
2025-03-28,908.8230847172531,4066.6499545566953,4.474633207432098,119.3300144776585,90.5024055199317,166.9283939764415
2025-03-29,885.4958451137999,4034.7383168242177,4.556473459574157,89.40313943414917,156.7842696115241,190.72592225489856
2025-03-30,862.1686055103482,3995.413298778642,4.634143801157797,123.50546887146346,150.10438559657484,214.14838074149873
2025-03-31,838.841365906895,3996.2237262040617,4.763980281162734,104.21054734862793,222.2063944831042,283.4233699808968
2025-04-01,922.1949013818077,4056.786761777421,4.399055726396635,113.16449775078208,112.37655423488803,195.8866845361189
2025-04-02,975.682168040025,4082.6264179147574,4.184381504190079,108.36873438101601,156.66405133012162,228.5274922236066
