date,t,load_error_kw,pv_error_kw,net_error_kw,naive_load_error_kw,naive_pv_error_kw
2025-02-01,98,-36.7499256004,90.4335480744,-127.183473675,-275.7199,-186.9742
2025-02-01,99,-132.957982794,123.926507736,-256.884490531,-388.51,-92.5875
2025-02-01,100,16.2099933487,105.213328399,-89.0033350501,-96.757,-5.648
2025-02-01,101,93.1770541533,73.9174751766,19.2595789767,-23.6032,15.451
2025-02-01,102,-7.1820951301,52.5599378368,-59.7420329669,-217.12,-5.175
2025-02-01,103,-60.6482146958,53.138852694,-113.78706739,-137.5931,3.7561
2025-02-01,104,-52.496884394,-32.9701142568,-19.5267701372,-188.6703,0
2025-02-01,105,-15.461676485,0,-15.461676485,-297.65,0
2025-02-01,106,18.1241278828,-11.2088516039,29.3329794867,8.2086,-1.2466
2025-02-01,107,-13.8687801287,-6.53327027736,-7.33550985137,-32.6049,0
2025-02-01,108,-51.533077476,0,-51.533077476,-340.12,0
2025-02-01,109,37.8253442014,0.278120427652,37.5472237737,-52.1771,-0.0895
2025-02-01,110,124.498273987,-0.0188795723484,124.517153559,221.2054,0
2025-02-01,111,72.0484907532,0,72.0484907532,193.37,0
2025-02-01,112,-131.700591376,0.00242042765162,-131.703011803,156.2434,-0.0064
2025-02-01,113,-246.758266218,-0.0188795723484,-246.739386646,-78.9362,0
2025-02-01,114,-160.360431527,0,-160.360431527,-339.76,0
2025-02-01,115,30.7547526336,0.00144516129032,30.7533074724,-160.8024,-0.0005
2025-02-01,116,212.311258936,0,212.311258936,149.2515,0
2025-02-01,117,321.380001603,0,321.380001603,313.61,0
2025-02-01,118,320.750228338,0,320.750228338,275.776,0
2025-02-01,119,58.9602349854,0,58.9602349854,-44.9955,0
2025-02-01,120,-240.19127997,0,-240.19127997,-334.09,0
2025-02-01,121,-140.705223919,0,-140.705223919,-140.2468,0
2025-02-01,122,16.592242084,0,16.592242084,-52.1703,0
2025-02-01,123,54.3977131036,0,54.3977131036,-256.82,0
2025-02-01,124,78.5763892427,0,78.5763892427,-336.2593,0
2025-02-01,125,-99.3396669935,0,-99.3396669935,-129.153,0
2025-02-01,126,-238.602369475,0,-238.602369475,192.98,0
2025-02-01,127,122.671454995,0,122.671454995,264.4284,0
2025-02-01,128,336.787124701,0,336.787124701,2.9446,0
2025-02-01,129,200.794607648,0,200.794607648,-265.5,0
2025-02-01,130,121.060581384,0,121.060581384,-113.0401,0
2025-02-01,131,55.1865983956,0,55.1865983956,-17.0259,0
2025-02-01,132,-28.4663722633,0,-28.4663722633,-113.05,0
2025-02-01,133,-91.8214923555,0,-91.8214923555,-92.5858,0
2025-02-01,134,-250.477142328,0,-250.477142328,-142.2848,0
2025-02-01,135,-373.145422421,0,-373.145422421,-230.92,0
