t,channel,mean_error_kw,q05_error_kw,q25_error_kw,q50_error_kw,q75_error_kw,q95_error_kw,samples
41,net,21.7088096904,-293.139717734,-110.961788113,20.7891187673,147.860290574,337.519283779,334
42,load,4.4954325914,-328.58628658,-114.001320202,5.27704672731,142.983426324,325.381390843,334
42,pv,20.8489998497,-111.521459148,-24.4144690475,21.4884526829,73.4403603522,141.626786985,334
42,net,-16.3535672583,-354.457736046,-163.74161468,-32.3236621876,135.879396293,350.10874863,334
43,load,0.541883104748,-272.324070856,-108.021971714,-3.79760502525,107.108056211,294.292279731,334
43,pv,2.71255035925,-126.43442711,-32.9303013051,-3.53835093895,44.1003157777,131.173798381,334
43,net,-2.1706672545,-308.062419126,-128.741652231,-12.5037551516,98.683008878,332.916641445,334
44,load,-0.0829452087483,-283.469326503,-113.873437853,-10.3379267785,104.731208186,316.729012204,334
44,pv,-3.41821957267,-198.884648593,-54.3788553528,-9.23066099641,48.4210878284,167.769764359,334
44,net,3.33527436392,-305.329770902,-143.16811191,0.625548504494,129.496892088,375.86373479,334
45,load,0.210628141969,-301.719232942,-123.961359549,-17.8263100866,120.30750832,315.057380127,334
45,pv,-8.04409904531,-193.920462726,-72.7726281085,-10.9539066381,51.3342106416,207.431142641,334
45,net,8.25472718728,-368.577948412,-137.850156918,3.49167130718,152.612746877,390.186446408,334
46,load,5.67920961874,-331.22741939,-110.357933529,7.05210847329,142.587128204,311.760611113,334
46,pv,-7.88187247121,-215.593135222,-69.923054944,-11.3449460555,53.6630788938,193.079394649,334
46,net,13.56108209,-367.691641116,-135.336014552,18.8494062097,173.042458661,359.900603871,334
47,load,1.65570195807,-279.945401553,-106.164349573,-1.09303786164,121.852466665,274.678526209,334
47,pv,-6.5733881653,-167.256812927,-64.1402312637,-3.99007890632,43.1287496355,172.626444363,334
47,net,8.22909012336,-299.754617112,-128.555604329,-6.43305201797,141.297422138,345.795583014,334
48,load,17.9705726665,-288.289104545,-109.401702889,16.3016798129,140.597365846,307.087331008,334
