date,issue_hour,physical_slot0,right_endpoint_hour,实际光伏,官方预报（对齐后）,自建基础预测,融合预测
2025-03-20,0,137,23.0,0.0,0.0,0.0,0.0
2025-03-20,0,138,23.166666666666668,0.0,0.0,0.0,0.0
2025-03-20,0,139,23.333333333333332,0.0,0.0,0.0,0.0
2025-03-20,0,140,23.5,0.0,0.0,0.0,0.0
2025-03-20,0,141,23.666666666666668,0.0,0.0,0.0,0.0
2025-03-20,0,142,23.833333333333332,0.0,0.0,0.0,0.0
2025-03-20,0,143,24.0,0.0,0.0,0.0,0.0
2025-03-20,12,72,12.166666666666666,8082.9395,7785.682116666667,7775.52509355029,7834.837784001785
2025-03-20,12,73,12.333333333333334,8090.5707,7752.914233333334,7875.579176607829,7800.0464588135965
2025-03-20,12,74,12.5,7709.3625,7720.14635,7957.8041580760755,7765.467774971903
2025-03-20,12,75,12.666666666666666,7205.256,7687.378466666667,7845.1066702012895,7733.21386201875
2025-03-20,12,76,12.833333333333334,7206.9442,7654.610583333334,7728.432047903634,7701.007382931776
2025-03-20,12,77,13.0,7525.8,7621.8427,7687.472672667954,7667.897875051961
2025-03-20,12,78,13.166666666666666,7339.075,7499.565200000001,7605.57522785083,7534.768524026828
2025-03-20,12,79,13.333333333333334,6900.6338,7377.287700000001,7402.286208562162,7409.715065200362
2025-03-20,12,80,13.5,6610.0125,7255.010200000001,7203.472670999792,7284.895144009578
2025-03-20,12,81,13.666666666666666,6642.1795,7132.7327000000005,7145.503642834292,7167.4247095858245
2025-03-20,12,82,13.833333333333334,6806.5377,7010.455200000001,7036.9229029610515,7047.313276893516
2025-03-20,12,83,14.0,6799.95,6888.1777,6738.133152235772,6917.27644054711
2025-03-20,12,84,14.166666666666666,6453.6137,6607.6682500000015,6483.112100045563,6636.973759319457
2025-03-20,12,85,14.333333333333334,6203.5886,6327.158800000002,6304.712332126843,6363.693906786693
2025-03-20,12,86,14.5,6115.6875,6046.64935,6035.9605571442125,6081.138682251774
2025-03-20,12,87,14.666666666666666,5837.6616,5766.139900000001,5812.161200659975,5803.198190886805
2025-03-20,12,88,14.833333333333334,5431.9635,5485.630450000002,5568.708786706121,5523.240152541596
2025-03-20,12,89,15.0,5072.775,5205.121,5333.88700780802,5244.168119425913
2025-03-20,12,90,15.166666666666666,4855.4545,4880.425166666668,5136.146162609632,4953.775506748892
2025-03-20,12,91,15.333333333333334,4561.8383,4555.7293333333355,4872.463989909883,4634.643506946233
2025-03-20,12,92,15.5,4146.825,4231.0335,4545.411559684929,4306.370312487636
2025-03-20,12,93,15.666666666666666,3778.6785,3906.3376666666677,4247.968586710225,3982.3682985946803
2025-03-20,12,94,15.833333333333334,3471.4229,3581.641833333336,3957.9832903792676,3659.442058677464
2025-03-20,12,95,16.0,3156.225,3256.946,3665.079760935864,3336.0948620216404
2025-03-20,12,96,16.166666666666668,2779.805,2946.7262666666643,3318.800824334345,2978.2425318672545
2025-03-20,12,97,16.333333333333332,2507.3559,2636.5065333333287,2921.1237836443543,2657.2264072155126
2025-03-20,12,98,16.5,2334.4125,2326.2868,2496.763483239146,2334.1009841639648
2025-03-20,12,99,16.666666666666668,2077.0816,2016.0670666666645,2152.0221865298563,2017.2694037269484
2025-03-20,12,100,16.833333333333332,1733.8533,1705.8473333333288,1846.361822879099,1703.5271515970162
2025-03-20,12,101,17.0,1377.7125,1395.6276,1546.3644755991859,1390.2325580926333
2025-03-20,12,102,17.166666666666668,1083.9022,1163.0229999999983,1243.0287918280196,1097.1248916006778
2025-03-20,12,103,17.333333333333332,831.8823,930.4183999999967,936.8666253968088,842.6064819413115
2025-03-20,12,104,17.5,597.3375,697.8138,647.9200179911168,596.2312266074637
2025-03-20,12,105,17.666666666666668,374.8971,465.2091999999983,373.4750241967898,356.71539869222397
2025-03-20,12,106,17.833333333333332,156.1276,232.6045999999967,143.80231056139667,138.37736618281548
2025-03-20,12,107,18.0,0.0,0.0,10.463639380764526,0.0
2025-03-20,12,108,18.166666666666668,0.0,0.0,0.0,0.1599729751201775
2025-03-20,12,109,18.333333333333332,5.5774,0.0,0.0,0.1599729751201775
2025-03-20,12,110,18.5,0.0,0.0,0.0,0.0
2025-03-20,12,111,18.666666666666668,0.0,0.0,0.0,0.1599729751201775
2025-03-20,12,112,18.833333333333332,0.4004,0.0,0.0,0.1599729751201775
2025-03-20,12,113,19.0,0.0,0.0,0.0,0.0
2025-03-20,12,114,19.166666666666668,0.0,0.0,0.0,0.0007722222222222228
2025-03-20,12,115,19.333333333333332,0.0288,0.0,0.0,0.0007722222222222228
2025-03-20,12,116,19.5,0.0,0.0,0.0,0.0
2025-03-20,12,117,19.666666666666668,0.0,0.0,0.0,0.0007722222222222228
2025-03-20,12,118,19.833333333333332,0.0021,0.0,0.0,0.0007722222222222228
2025-03-20,12,119,20.0,0.0,0.0,0.0,0.0
2025-03-20,12,120,20.166666666666668,0.0,0.0,0.0,0.0
2025-03-20,12,121,20.333333333333332,0.0,0.0,0.0,0.0
2025-03-20,12,122,20.5,0.0,0.0,0.0,0.0
2025-03-20,12,123,20.666666666666668,0.0,0.0,0.0,0.0
2025-03-20,12,124,20.833333333333332,0.0,0.0,0.0,0.0
2025-03-20,12,125,21.0,0.0,0.0,0.0,0.0
2025-03-20,12,126,21.166666666666668,0.0,0.0,0.0,0.0
2025-03-20,12,127,21.333333333333332,0.0,0.0,0.0,0.0
2025-03-20,12,128,21.5,0.0,0.0,0.0,0.0
2025-03-20,12,129,21.666666666666668,0.0,0.0,0.0,0.0
2025-03-20,12,130,21.833333333333332,0.0,0.0,0.0,0.0
2025-03-20,12,131,22.0,0.0,0.0,0.0,0.0
2025-03-20,12,132,22.166666666666668,0.0,0.0,0.0,0.0
2025-03-20,12,133,22.333333333333332,0.0,0.0,0.0,0.0
2025-03-20,12,134,22.5,0.0,0.0,0.0,0.0
2025-03-20,12,135,22.666666666666668,0.0,0.0,0.0,0.0
2025-03-20,12,136,22.833333333333332,0.0,0.0,0.0,0.0
2025-03-20,12,137,23.0,0.0,0.0,0.0,0.0
2025-03-20,12,138,23.166666666666668,0.0,0.0,0.0,0.0
2025-03-20,12,139,23.333333333333332,0.0,0.0,0.0,0.0
2025-03-20,12,140,23.5,0.0,0.0,0.0,0.0
2025-03-20,12,141,23.666666666666668,0.0,0.0,0.0,0.0
2025-03-20,12,142,23.833333333333332,0.0,0.0,0.0,0.0
